PYPL,PayPal Holdings Inc,NASDAQ,Stock,2015-07-20,null,Active
PEP,PepsiCo Inc,NASDAQ,Stock,1972-06-01,null,Active
QCOM,Qualcomm Inc,NASDAQ,Stock,1991-12-16,null,Active
REGN,Regeneron Pharmaceuticals Inc,NASDAQ,Stock,1991-04-02,null,Active
ROST,Ross Stores Inc,NASDAQ,Stock,1986-07-09,null,Active
SIRI,Sirius XM Holdings Inc,NASDAQ,Stock,1994-09-13,null,Active
SWKS,Skyworks Solutions Inc,NASDAQ,Stock,1984-09-07,null,Active
SBUX,Starbucks Corp,NASDAQ,Stock,1992-06-26,null,Active
NLOK,NortonLifeLock Inc,NASDAQ,Stock,1990-03-26,null,Active
SNPS,Synopsys Inc,NASDAQ,Stock,1992-02-26,null,Active
TTWO,Take-Two Interactive Software Inc,NASDAQ,Stock,1997-04-15,null,Active
TSLA,Tesla Inc,NASDAQ,Stock,2010-06-29,null,Active
TXN,Texas Instruments Inc,NASDAQ,Stock,1972-06-01,null,Active
TMUS,T-Mobile US Inc,NASDAQ,Stock,2007-04-19,null,Active
ULTA,Ulta Beauty Inc,NASDAQ,Stock,2007-10-25,null,Active
UAL,United Airlines Holdings Inc,NASDAQ,Stock,2006-02-06,null,Active
VRSN,Verisign Inc,NASDAQ,Stock,1998-01-30,null,Active
VRSK,Verisk Analytics Inc,NASDAQ,Stock,2009-10-07,null,Active
VRTX,Vertex Pharmaceuticals Inc,NASDAQ,Stock,1991-07-24,null,Active
WBA,Walgreens Boots Alliance Inc,NASDAQ,Stock,1985-07-01,null,Active
WDC,Western Digital Corp,NASDAQ,Stock,1987-01-02,null,Active
WDAY,Workday Inc - Class A,NASDAQ,Stock,2012-10-12,null,Active
WYNN,Wynn Resorts Ltd,NASDAQ,Stock,2002-10-25,null,Active
XEL,Xcel Energy Inc,NASDAQ,Stock,1985-09-24,null,Active
